row_num,Star Name,Distance,Mass,Radius,Gravity
6,2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,1178.4549471797186
8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,176.0410467164833
13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,1342.364916132563
15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
18,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
23,Teegarden's star,12.578,0.07636704,0.1305090099999999,1229.7078510792437
28,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,1649.7053854867931
31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,264.06157007472495
35,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,1264.7863490311697
44,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,172.14803783504945
48,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
52,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,349.171836201398
57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999,1206.513398303045
65,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,1342.364916132563
69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1537.1317395794251
73,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999,1178.4549471797186
77,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,1316.5502062069368
81,DEN 1048-3956,13.15,0.073503276,0.10995641,1667.4106478888943
86,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61.2159195372133
91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1586.7166344045677
97,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
102,2MASS J13595510-4034582,51.0,0.060139044,0.102763,1561.9241869919963
105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.80704526170723
109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.1017353699999999,1492.45423665107
114,CFBDS J150411+102717,71.0,0.042001872,0.0965972199999999,1234.571849426372
118,2MASSW J1515008+484742 [de],34.0,0.054411516,0.1017353699999999,1441.8625676120507
122,2MASSW J1552591+294849 [de],68.0,0.02863764,0.1469510899999999,363.72117090182496
127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.0996801099999999,1291.136064635986
132,2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999,1236.18851364622
138,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413649
143,2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999,1391.2708985730314
148,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
149,2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999,178.78094402431154
154,WISE 0410+1502,20.0,0.005727528,0.1202327099999999,108.6673127879527
158,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
162,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
166,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
170,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
174,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
178,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
182,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
186,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
190,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
194,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
198,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
202,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
206,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
210,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
214,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
218,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
222,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
226,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
230,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
234,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
238,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
242,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
246,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
250,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
254,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10
